TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747699200,2025-05-20,00,105618.19,106585.42,105755.64,105599.67,1364.96,144699888.2
1747702800,2025-05-20,01,105755.64,106791.87,106482.04,105729.66,1057.32,112373120.71
1747706400,2025-05-20,02,106482.04,106863.96,106114.47,106023.01,1070.13,113964482.69
1747710000,2025-05-20,03,106114.47,106183.4,105777.85,105562.15,593.39,62847345.22
1747713600,2025-05-20,04,105777.85,106263.78,106237.34,105568.77,358.51,37939771.73
1747717200,2025-05-20,05,106237.34,106430.87,106127.55,106107.2,397.95,42286171.93
1747720800,2025-05-20,06,106127.55,106224.15,105484.94,105418.76,370.03,39110104.3
1747724400,2025-05-20,07,105484.94,105756.55,105063.95,104961.18,487.94,51402955.66
1747728000,2025-05-20,08,105063.95,105270.06,105247,104883.15,345.38,36296368.59
1747731600,2025-05-20,09,105247,105416.72,105313.72,105217.47,231.4,24372026.66
1747735200,2025-05-20,10,105313.72,105430.93,105055.55,105041.24,243.04,25570771.22
1747738800,2025-05-20,11,105055.55,105371.04,105237.87,104942.53,240.3,25269329.7
1747742400,2025-05-20,12,105237.87,105244.04,104810.78,104690.44,319.27,33492328.12
1747746000,2025-05-20,13,104810.78,104900.56,104478.5,104220.59,989.08,103365014.59
1747749600,2025-05-20,14,104478.5,104998.17,104555.5,104329.41,1069.16,111950582.35
1747753200,2025-05-20,15,104555.5,105423.38,105377.73,104527.42,864.4,90803832.66
1747756800,2025-05-20,16,105377.73,105547.85,105242.11,105134.27,661.63,69712082.6
1747760400,2025-05-20,17,105242.11,106378.75,106246.22,105242.11,1149.33,121924724.62
1747764000,2025-05-20,18,106246.22,106456.72,105312.31,105273.74,1123.33,118961815.34
1747767600,2025-05-20,19,105312.31,107296.48,107077.03,105235.59,2739.87,291919267.58
1747771200,2025-05-20,20,107077.03,107339.72,106960.79,106472.91,1398.42,149436002.05
1747774800,2025-05-20,21,106960.79,107275.72,106660.88,106203.51,958.37,102251057.53
1747778400,2025-05-20,22,106660.88,106911.41,106808.32,105979.54,807.67,85961114.93
1747782000,2025-05-20,23,106808.32,107231.1,107026.69,106724.74,352.78,37749134.95
