TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747785600,2025-05-21,00,106875.88,107247.83,106788.23,106517.92,647.03,69137776.25
1747789200,2025-05-21,01,106788.23,107129.61,106540.23,106481.31,448.82,47953508.95
1747792800,2025-05-21,02,106540.23,106953.27,106898.62,106244.93,453.7,48366835.03
1747796400,2025-05-21,03,106898.62,107145.34,106894.67,106801.43,425.47,45522899.76
1747800000,2025-05-21,04,106894.67,107739.55,107352.86,106795.2,1044.44,112189948.11
1747803600,2025-05-21,05,107352.86,107766.7,107594.28,107338.79,619.57,66654536.38
1747807200,2025-05-21,06,107594.28,108040.51,107817.75,107356.65,1094.82,118079358
1747810800,2025-05-21,07,107817.75,107912.17,106566.19,106514.43,1537.25,164643035.67
1747814400,2025-05-21,08,106566.19,106834.67,106424.66,106402.94,1021.92,108845677.03
1747818000,2025-05-21,09,106424.66,106563.04,106240.41,106133.62,404.97,43056939.2
1747821600,2025-05-21,10,106240.41,106478.57,106372.14,106177.26,421.13,44777985.9
1747825200,2025-05-21,11,106372.14,106755.9,106592.11,106311.94,483.61,51536972.13
1747828800,2025-05-21,12,106592.11,106922.15,106605.36,106465.53,636.61,67909404.71
1747832400,2025-05-21,13,106605.36,107710.93,107314.55,106388.14,1782.29,190610677.77
1747836000,2025-05-21,14,107314.55,109084.46,109072.65,107077.04,3438.31,370880958.77
1747839600,2025-05-21,15,109072.65,109512.59,109037.01,108381.3,5018.03,546816110.97
1747843200,2025-05-21,16,109037.01,109882.98,109198.25,108778.19,2650.21,289912797.66
1747846800,2025-05-21,17,109198.25,109393.67,106638.13,106186.83,5162.58,555568887.51
1747850400,2025-05-21,18,106638.13,107482.86,107025.67,106401.73,1862.04,199188387.76
1747854000,2025-05-21,19,107025.67,108921.64,108685.79,106675.23,2915.5,314199992.52
1747857600,2025-05-21,20,108685.79,108809.67,108290.03,107801.68,1206.82,130707697.22
1747861200,2025-05-21,21,108290.03,108607.67,108479.27,108010.06,595.31,64495471.17
1747864800,2025-05-21,22,108479.27,109102.66,108804.42,108345.73,809.81,88086130.07
1747868400,2025-05-21,23,108804.42,110778.49,109783.02,108741.03,2339.07,256884186.31
