TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747526400,2025-05-18,00,103159.32,103446.25,103406.96,103144.58,201.81,20843132.3
1747530000,2025-05-18,01,103406.96,103433.56,103284.28,103180.03,133.06,13744416.86
1747533600,2025-05-18,02,103284.28,103384.05,103363.57,103279.69,91.19,9422730.1
1747537200,2025-05-18,03,103363.57,103420,103317.24,103176.28,121.88,12589578.27
1747540800,2025-05-18,04,103317.24,103466.52,103377.04,103316.37,48.46,5009679.66
1747544400,2025-05-18,05,103377.04,103692.59,103667.77,103376.99,104.62,10829552.23
1747548000,2025-05-18,06,103667.77,103690,103491.05,103401.09,90.92,9412860.56
1747551600,2025-05-18,07,103491.05,103992.84,103949.71,103478.5,195.23,20252901.36
1747555200,2025-05-18,08,103949.71,104100.71,103929.85,103852.33,270.47,28122774.73
1747558800,2025-05-18,09,103929.85,104044.77,103892.38,103872.43,122.72,12758073.41
1747562400,2025-05-18,10,103892.38,103946.33,103883.64,103828.84,88.95,9238990.28
1747566000,2025-05-18,11,103883.64,104017.82,103836.78,103832.53,149.75,15559231.98
1747569600,2025-05-18,12,103836.78,103970.68,103969.67,103745.2,130.68,13571097.53
1747573200,2025-05-18,13,103969.67,104809.27,104764.56,103925.43,572.47,59753477.67
1747576800,2025-05-18,14,104764.56,105553.96,105277.82,104577.5,1312.06,137873237.4
1747580400,2025-05-18,15,105277.82,105689.76,105535.94,105007.79,784.81,82671539.45
1747584000,2025-05-18,16,105535.94,105969.77,105836.02,105185.88,1015.63,107243964.36
1747587600,2025-05-18,17,105836.02,105906.28,104888.09,104873.38,1096.4,115653376.54
1747591200,2025-05-18,18,104888.09,104945.09,104528.95,104026.98,1462.67,152818123.69
1747594800,2025-05-18,19,104528.95,104780.88,103942.42,103902.37,708.89,73970716.4
1747598400,2025-05-18,20,103942.42,104279.26,104121.18,103333.46,1204.18,125029235
1747602000,2025-05-18,21,104121.18,104640.04,104244.97,104120.56,473.6,49421620.29
1747605600,2025-05-18,22,104244.97,105998.96,105970.83,104025.63,1147.38,120492888.72
1747609200,2025-05-18,23,105970.83,105998,105904.88,105506.84,535.42,56635960.71
