TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747872000,2025-05-22,00,109699.86,110194.65,109982.74,109250.4,1312.16,144082479.59
1747875600,2025-05-22,01,109982.74,110588.22,109950.07,109727.48,1204.12,132629257.94
1747879200,2025-05-22,02,109950.07,110990.48,110507.8,109868.77,1249.64,138030611.21
1747882800,2025-05-22,03,110507.8,111899.81,111783.61,110370.16,2193.3,243973059.65
1747886400,2025-05-22,04,111783.61,111796.78,111495.63,111256.89,952.76,106217363.41
1747890000,2025-05-22,05,111495.63,111663.76,110868.3,110832.16,982.12,109288671.13
1747893600,2025-05-22,06,110868.3,111175,110606.55,110486.4,927.74,102826723.17
1747897200,2025-05-22,07,110606.55,111154.82,111070.18,110483.51,535.58,59355926.89
1747900800,2025-05-22,08,111070.18,111155.68,110413.59,110392.14,730.46,80939346.51
1747904400,2025-05-22,09,110413.59,110838.28,110826.92,110290.24,482.45,53343361.03
1747908000,2025-05-22,10,110826.92,110955.33,110806.97,110624.66,413.57,45832710.15
1747911600,2025-05-22,11,110806.97,111335.79,110995.6,110504.61,467.6,51819248.4
1747915200,2025-05-22,12,110995.6,111617.09,111616.85,110830.3,1084.79,120763111.98
1747918800,2025-05-22,13,111616.85,111631.78,110937.65,110928.41,1457.41,162189934.93
1747922400,2025-05-22,14,110937.65,111413.71,110918.76,110566.72,2033.77,225682121.02
1747926000,2025-05-22,15,110918.76,111571.2,111320.95,110820.97,1326.12,147470352.42
1747929600,2025-05-22,16,111320.95,111838.76,111306.75,111130.2,1239.7,138168009.47
1747933200,2025-05-22,17,111306.75,111998.96,111538.25,111213.07,1279.8,142888791.8
1747936800,2025-05-22,18,111538.25,111995.01,111774.02,111408.04,864.95,96634706.88
1747940400,2025-05-22,19,111774.02,111967.98,111229.68,110970.4,2345.01,261516153.99
1747944000,2025-05-22,20,111229.68,111477.67,111106.16,110871.19,996.3,110726159.83
1747947600,2025-05-22,21,111106.16,111131.64,110866.09,110790.96,503.36,55835012
1747951200,2025-05-22,22,110866.09,111271.98,111057.48,110865.91,307.73,34195511.37
1747954800,2025-05-22,23,111057.48,111306.23,111290.65,111056.89,232.45,25853004.54
