TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1747958400,2025-05-23,00,111722.11,111810.26,111632.89,111413.93,530.9,59250426.21
1747962000,2025-05-23,01,111632.89,111745.79,111351.6,111235.66,472.01,52580802.91
1747965600,2025-05-23,02,111351.6,111612.7,111278.43,111207.38,494.87,55142346.78
1747969200,2025-05-23,03,111278.43,111374.44,111106.3,111024.85,361.64,40204625.52
1747972800,2025-05-23,04,111106.3,111186.75,110838.42,110552.85,546.41,60556936.29
1747976400,2025-05-23,05,110838.42,110934.55,110842.09,110665.7,291.39,32283703.89
1747980000,2025-05-23,06,110842.09,110845.91,110506.93,110398.94,547.57,60526780.72
1747983600,2025-05-23,07,110506.93,110841.96,110718.55,110506.86,384.61,42573156.06
1747987200,2025-05-23,08,110718.55,111007.46,110928.72,110714.46,180.52,20012894.25
1747990800,2025-05-23,09,110928.72,111366.36,111321.52,110907,339.55,37738570.73
1747994400,2025-05-23,10,111321.52,111331.45,111055.85,110823.12,369.46,41026564.96
1747998000,2025-05-23,11,111055.85,111081.78,109085.98,108894.08,2290.74,251950413.28
1748001600,2025-05-23,12,109085.98,109096.72,108454.7,107351.15,3301.26,357671668.35
1748005200,2025-05-23,13,108454.7,109753.29,109676.57,107984.94,2607.57,284053488.02
1748008800,2025-05-23,14,109676.57,110034.32,109714.98,109554.79,1739.44,191025287.77
1748012400,2025-05-23,15,109714.98,109895.85,108966.56,108946.14,1132.63,123914300.91
1748016000,2025-05-23,16,108966.56,109248.42,109087.48,108039.26,2064.54,224396428.3
1748019600,2025-05-23,17,109087.48,109835.33,109446.28,109049.15,1360.81,149057697.73
1748023200,2025-05-23,18,109446.28,109514.68,108822.56,108691.81,1148.71,125250892.92
1748026800,2025-05-23,19,108822.56,109182.93,108748.98,108644.34,1838.52,200261516.11
1748030400,2025-05-23,20,108748.98,108751.88,108268.03,108212.85,860.74,93409354.96
1748034000,2025-05-23,21,108268.03,108685.59,108299.23,108089.44,551.66,59788558.5
1748037600,2025-05-23,22,108299.23,108586.86,107818.31,107655.62,590.73,63877046.93
1748041200,2025-05-23,23,107818.31,107912.61,107463.24,107417.46,424.61,45703758.49
