TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1748044800,2025-05-24,00,107332.91,107692.67,107391.53,106896.28,919.19,98672760.55
1748048400,2025-05-24,01,107391.53,107886.61,107504.95,107372.5,459.57,49476373.87
1748052000,2025-05-24,02,107504.95,107904.24,107811.76,107276.83,370.99,39950779.25
1748055600,2025-05-24,03,107811.76,108378.17,108374.42,107764.08,475.62,51428657.54
1748059200,2025-05-24,04,108374.42,108589.19,108507.12,108324.2,281.67,30548901.5
1748062800,2025-05-24,05,108507.12,108536.08,108253.01,108144.11,222.63,24117737.41
1748066400,2025-05-24,06,108253.01,108348.59,107970.99,107707.26,394.26,42570935.35
1748070000,2025-05-24,07,107970.99,108254.16,107616.4,107593.82,223.7,24143580.38
1748073600,2025-05-24,08,107616.4,108302.15,108268.33,107616.39,264.58,28556256
1748077200,2025-05-24,09,108268.33,108451.62,108204.83,108191.31,199.03,21554589.45
1748080800,2025-05-24,10,108204.83,109274.48,109120.76,108199.75,427.89,46560965.83
1748084400,2025-05-24,11,109120.76,109512.56,109221.15,109119.94,336.13,36749287.81
1748088000,2025-05-24,12,109221.15,109288.95,108825.86,108659.8,452.85,49320422.6
1748091600,2025-05-24,13,108825.86,108918.3,108628.6,108575.22,275.53,29961531.27
1748095200,2025-05-24,14,108628.6,109049.82,108995.77,108618.1,354.83,38619317.69
1748098800,2025-05-24,15,108995.77,109235.25,108958.88,108863.38,308.8,33671448.35
1748102400,2025-05-24,16,108958.88,109128.15,109036.02,108724.24,309.4,33686420.87
1748106000,2025-05-24,17,109036.02,109220.91,108964.96,108918.56,246.47,26871087.41
1748109600,2025-05-24,18,108964.96,109101.45,108846.44,108810.71,222.77,24271529.51
1748113200,2025-05-24,19,108846.44,109025.39,108969.23,108820.65,247.75,26972033.61
1748116800,2025-05-24,20,108969.23,109124.33,108873.32,108864.16,184.59,20110230.88
1748120400,2025-05-24,21,108873.32,108881.88,108829.42,108599.33,164.93,17936719.54
1748124000,2025-05-24,22,108829.42,108831.3,108101.03,108006.66,485.13,52581823.13
1748127600,2025-05-24,23,108101.03,108399.56,108068.79,107697.48,686.76,74173368.51
